model_name,feature_config,combination,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,training_time,prediction_time,best_cv_score
Random_Forest,Count,Random_Forest_Count,0.7560975609756098,0.7734122584732341,0.7560975609756098,0.7448713156438812,0.7668277159348589,0.7708806074877502,0.748154263022732,10.508573770523071,0.1445457935333252,0.7057335772042895
Logistic_Regression,Count,Logistic_Regression_Count,0.7398373983739838,0.767341009261741,0.7398373983739838,0.7379318400106296,0.7591615120376182,0.7349765278968818,0.7282533476201558,156.90087008476257,0.0013628005981445312,0.7266945492110084
Logistic_Regression,TF-IDF,Logistic_Regression_TF-IDF,0.733739837398374,0.7640204195082244,0.733739837398374,0.733995522867812,0.7514850972440258,0.7377308703201562,0.7265415115490471,67.57820105552673,0.00722956657409668,0.7213029385351861
Random_Forest,Combined,Random_Forest_Combined,0.7479674796747967,0.7617082254187706,0.7479674796747967,0.7335988529106731,0.7501350289481471,0.7454573450148672,0.7285920985683024,14.267963886260986,0.25215649604797363,0.7154585385909967
Logistic_Regression,SVD,Logistic_Regression_SVD,0.733739837398374,0.769838850174216,0.733739837398374,0.7332501155851856,0.7620759201116344,0.7461455954759526,0.7332115112126721,184.89588522911072,0.01867985725402832,0.708703306393388
Linear_SVC,Count,Linear_SVC_Count,0.7317073170731707,0.7505089366369854,0.7317073170731707,0.7270824040477375,0.7237856928646402,0.7174156253103622,0.7020389949988868,2.427030086517334,0.0025129318237304688,0.7269281153049816
Random_Forest,TF-IDF,Random_Forest_TF-IDF,0.7378048780487805,0.7484638329150525,0.7378048780487805,0.721407556411741,0.7168861839914472,0.7238093290724869,0.6996099975589141,12.652607917785645,0.18095970153808594,0.6956880040083436
Linear_SVC,SVD,Linear_SVC_SVD,0.7276422764227642,0.749457831012709,0.7276422764227642,0.7203568749245628,0.7334378011369161,0.7333198512402052,0.7130295996028648,65.08251094818115,0.017347335815429688,0.7004451914313211
Linear_SVC,TF-IDF,Linear_SVC_TF-IDF,0.7235772357723578,0.7485286957847933,0.7235772357723578,0.719650314367295,0.733820407714213,0.7302400647533391,0.7122941644073074,2.1500985622406006,0.0038728713989257812,0.7233894757362388
Decision_Tree,Combined,Decision_Tree_Combined,0.7134146341463414,0.7361103989553925,0.7134146341463414,0.7098990348016613,0.714737665477797,0.7245873422212706,0.7014474037189337,4.465527772903442,0.0012593269348144531,0.6050574786840004
Decision_Tree,Count,Decision_Tree_Count,0.6971544715447154,0.7353852730377121,0.6971544715447154,0.6961955277780537,0.7073680461838356,0.6971102727681676,0.6774262355603702,1.6531891822814941,0.0015380382537841797,0.6394609013430257
Random_Forest,SVD,Random_Forest_SVD,0.6747967479674797,0.6987824675324675,0.6747967479674797,0.6679356751240912,0.6914267394355891,0.6967123584380222,0.6756336577621735,133.05371284484863,0.2133467197418213,0.6545567360775227
Decision_Tree,TF-IDF,Decision_Tree_TF-IDF,0.6504065040650406,0.6630685315136534,0.6504065040650406,0.6424816594951569,0.6434616023111598,0.6540293285868508,0.6289478839010034,4.789892911911011,0.0029506683349609375,0.6120594675315872
Multinomial_NB,Count,Multinomial_NB_Count,0.6565040650406504,0.6769936590058542,0.6565040650406504,0.6416175092148905,0.6509969684311789,0.6603256392730077,0.6291383173257903,0.24044466018676758,0.002669811248779297,0.6145818463467309
Multinomial_NB,TF-IDF,Multinomial_NB_TF-IDF,0.6443089430894309,0.6531963370467675,0.6443089430894309,0.6330157279821211,0.6554392900176347,0.6656362074503668,0.6443504801736474,0.28999757766723633,0.0033826828002929688,0.6190673652752097
KNN,TF-IDF,KNN_TF-IDF,0.6504065040650406,0.6662881156783594,0.6504065040650406,0.6318371676199082,0.6440552684030943,0.6682177725655987,0.6333702361512296,0.6630520820617676,0.13331985473632812,0.6087698856508924
KNN,SVD,KNN_SVD,0.6341463414634146,0.6707122590730912,0.6341463414634146,0.6312339041899121,0.6533098359441071,0.6539755896277635,0.6329026525953785,0.8478386402130127,3.732818603515625,0.610187913697843
Multinomial_NB,Combined,Multinomial_NB_Combined,0.6361788617886179,0.6560148692770643,0.6361788617886179,0.6274483862033766,0.6697591842681128,0.676301253310182,0.6531877717815668,0.3099987506866455,0.005747556686401367,0.5979010732238473
KNN,Count,KNN_Count,0.5467479674796748,0.5905538672479537,0.5467479674796748,0.5373740225320164,0.6148086600603715,0.584497410161127,0.5751869734855348,0.7699723243713379,0.0952301025390625,0.520002606294763
Decision_Tree,SVD,Decision_Tree_SVD,0.44308943089430897,0.48644214299702104,0.44308943089430897,0.43718448176324565,0.47543103405935255,0.4869636754592507,0.4543810528071098,32.0629608631134,0.0008301734924316406,0.4343497053901082
